	Symbol_hg	Symbol_mm	ID
2653	RPS21	Rps21	RPS21_Rps21
2654	KCNK9	Kcnk9	KCNK9_Kcnk9
2655	WSCD2	Wscd2	WSCD2_Wscd2
2656	RUNX2	Runx2	RUNX2_Runx2
2657	MED9	Med9	MED9_Med9
2658	OR52N4	Olfr658	OR52N4_Olfr658
2659	RTN3	Rtn3	RTN3_Rtn3
2660	RBM41	Rbm41	RBM41_Rbm41
2661	BMPR1A	Bmpr1a	BMPR1A_Bmpr1a
2662	FOXC1	Foxc1	FOXC1_Foxc1
2663	PMS1	Pms1	PMS1_Pms1
2664	ETF1	Etf1	ETF1_Etf1
2665	TTC7A	Ttc7	TTC7A_Ttc7
2666	OLFM2	Olfm2	OLFM2_Olfm2
2667	CLU	Clu	CLU_Clu
2668	INSIG1	Insig1	INSIG1_Insig1
2669	CDK5RAP1	Cdk5rap1	CDK5RAP1_Cdk5rap1
2670	CYB5D2	Cyb5d2	CYB5D2_Cyb5d2
2671	NOP16	Nop16	NOP16_Nop16
2672	DCBLD1	Dcbld1	DCBLD1_Dcbld1
2673	ADAMTS20	Adamts20	ADAMTS20_Adamts20
2674	DRAM1	Dram1	DRAM1_Dram1
2675	PRM2	Prm2	PRM2_Prm2
2676	LOC105372440	Gm15517	LOC105372440_Gm15517
2677	NGLY1	Ngly1	NGLY1_Ngly1
2678	MTMR4	Mtmr4	MTMR4_Mtmr4
2679	SLK	Slk	SLK_Slk
2680	ESRP2	Esrp2	ESRP2_Esrp2
2681	GDPD2	Gdpd2	GDPD2_Gdpd2
2682	CALCB	Calcb	CALCB_Calcb
2683	ARMH3	Armh3	ARMH3_Armh3
2684	MICB	Mill2	MICB_Mill2
2685	ADAMTS8	Adamts8	ADAMTS8_Adamts8
2686	B2M	B2m	B2M_B2m
2687	FKBP9	Fkbp9	FKBP9_Fkbp9
2688	PRSS55	Prss55	PRSS55_Prss55
2689	NOBOX	Nobox	NOBOX_Nobox
2690	OR51I1	Olfr640	OR51I1_Olfr640
2691	N4BP2	N4bp2	N4BP2_N4bp2
2692	ITK	Itk	ITK_Itk
2693	CA11	Car11	CA11_Car11
2694	CDC25C	Cdc25c	CDC25C_Cdc25c
2695	LASP1	Lasp1	LASP1_Lasp1
2696	PPP1R3D	Ppp1r3d	PPP1R3D_Ppp1r3d
2697	NME1	Nme1	NME1_Nme1
2698	COG4	Cog4	COG4_Cog4
2699	SVIL	Svil	SVIL_Svil
2700	DIPK1B	Dipk1b	DIPK1B_Dipk1b
2701	NCAPH	Ncaph	NCAPH_Ncaph
2702	PPP3CA	Ppp3ca	PPP3CA_Ppp3ca
2703	NECAB1	Necab1	NECAB1_Necab1
2704	TTC1	Ttc1	TTC1_Ttc1
2705	MAGI3	Magi3	MAGI3_Magi3
2706	MED16	Med16	MED16_Med16
2707	TMEM67	Tmem67	TMEM67_Tmem67
2708	FBXL6	Fbxl6	FBXL6_Fbxl6
2709	RBBP9	Rbbp9	RBBP9_Rbbp9
2710	OLAH	Olah	OLAH_Olah
2711	TTC9	Ttc9	TTC9_Ttc9
2712	GJB5	Gjb5	GJB5_Gjb5
2713	RBM33	Rbm33	RBM33_Rbm33
2714	TEX36	Tex36	TEX36_Tex36
2715	PHF8	Phf8	PHF8_Phf8
2716	LBX2	Lbx2	LBX2_Lbx2
2717	BRS3	Brs3	BRS3_Brs3
2718	KLF7	Klf7	KLF7_Klf7
2719	PLAT	Plat	PLAT_Plat
2720	SPRYD7	Spryd7	SPRYD7_Spryd7
2721	CLVS2	Clvs2	CLVS2_Clvs2
2722	NLRP3	Nlrp3	NLRP3_Nlrp3
2723	MYH9	Myh9	MYH9_Myh9
2724	RNFT2	Rnft2	RNFT2_Rnft2
2725	KLHL31	Klhl31	KLHL31_Klhl31
2726	KCNA10	Kcna10	KCNA10_Kcna10
2727	LIMA1	Lima1	LIMA1_Lima1
2728	FEM1C	Fem1c	FEM1C_Fem1c
2729	RAB3B	Rab3b	RAB3B_Rab3b
2730	ARMCX5	Armcx5	ARMCX5_Armcx5
2731	EFTUD2	Eftud2	EFTUD2_Eftud2
2732	POLR2K	Polr2k	POLR2K_Polr2k
2733	MDC1	Mdc1	MDC1_Mdc1
2734	THNSL2	Thnsl2	THNSL2_Thnsl2
2735	AP1B1	Ap1b1	AP1B1_Ap1b1
2736	CLDN22	Cldn22	CLDN22_Cldn22
2737	HYPK	Hypk	HYPK_Hypk
2738	ZNF689	Zfp689	ZNF689_Zfp689
2739	GALNT13	Galnt13	GALNT13_Galnt13
2740	CPS1	Cps1	CPS1_Cps1
2741	ARHGEF7	Arhgef7	ARHGEF7_Arhgef7
2742	PEX26	Pex26	PEX26_Pex26
2743	ARRB2	Arrb2	ARRB2_Arrb2
2744	ACMSD	Acmsd	ACMSD_Acmsd
2745	CTTNBP2NL	Cttnbp2nl	CTTNBP2NL_Cttnbp2nl
2746	SKP1	Skp1	SKP1_Skp1
2747	TNRC6C	Tnrc6c	TNRC6C_Tnrc6c
2748	TRH	Trh	TRH_Trh
2749	RIF1	Rif1	RIF1_Rif1
2750	ME2	Me2	ME2_Me2
2751	XRCC1	Xrcc1	XRCC1_Xrcc1
2752	GPLD1	Gpld1	GPLD1_Gpld1
2753	CYP39A1	Cyp39a1	CYP39A1_Cyp39a1
2754	KPNB1	Kpnb1	KPNB1_Kpnb1
2755	VWCE	Vwce	VWCE_Vwce
2756	INTS9	Ints9	INTS9_Ints9
2757	HADHA	Hadha	HADHA_Hadha
2758	SWAP70	Swap70	SWAP70_Swap70
2759	BCOR	Bcor	BCOR_Bcor
2760	CCDC69	Ccdc69	CCDC69_Ccdc69
2761	CAD	Cad	CAD_Cad
2762	GAS1	Gas1	GAS1_Gas1
2763	TMEM212	Tmem212	TMEM212_Tmem212
2764	HS6ST1	Hs6st1	HS6ST1_Hs6st1
2765	SLC25A43	Slc25a43	SLC25A43_Slc25a43
2766	CPM	Cpm	CPM_Cpm
2767	MRPL30	Mrpl30	MRPL30_Mrpl30
2768	CD55	Cd55	CD55_Cd55
2769	CENPJ	Cenpj	CENPJ_Cenpj
2770	PSMD1	Psmd1	PSMD1_Psmd1
2771	PKMYT1	Pkmyt1	PKMYT1_Pkmyt1
2772	RHOA	Rhoa	RHOA_Rhoa
2773	RNASE13	Rnase13	RNASE13_Rnase13
2774	NOL7	Nol7	NOL7_Nol7
2775	BCHE	Bche	BCHE_Bche
2776	CXXC4	Cxxc4	CXXC4_Cxxc4
2777	LILRA5	Lilra5	LILRA5_Lilra5
2778	ZFP28	Zfp28	ZFP28_Zfp28
2779	MEOX1	Meox1	MEOX1_Meox1
2780	GABPB2	Gabpb2	GABPB2_Gabpb2
2781	ASF1B	Asf1b	ASF1B_Asf1b
2782	SRMS	Srms	SRMS_Srms
2783	NICN1	Nicn1	NICN1_Nicn1
2784	ATP6V0A4	Atp6v0a4	ATP6V0A4_Atp6v0a4
2785	OR2W1	Olfr263	OR2W1_Olfr263
2786	LECT2	Lect2	LECT2_Lect2
2787	HAUS3	Haus3	HAUS3_Haus3
2788	STRAP	Strap	STRAP_Strap
2789	ULK4	Ulk4	ULK4_Ulk4
2790	CMTM1	Cmtm1	CMTM1_Cmtm1
2791	TMEM200C	Tmem200c	TMEM200C_Tmem200c
2792	PHF14	Phf14	PHF14_Phf14
2793	CILP	Cilp	CILP_Cilp
2794	RIC8B	Ric8b	RIC8B_Ric8b
2795	INSYN2A	Insyn2a	INSYN2A_Insyn2a
2796	PDE6D	Pde6d	PDE6D_Pde6d
2797	WDR38	Wdr38	WDR38_Wdr38
2798	PLN	Pln	PLN_Pln
2799	SOWAHD	Sowahd	SOWAHD_Sowahd
2800	PPEF1	Ppef1	PPEF1_Ppef1
2801	TOM1	Tom1	TOM1_Tom1
2802	MMD	Mmd	MMD_Mmd
2803	SIT1	Sit1	SIT1_Sit1
2804	LDLRAD4	Ldlrad4	LDLRAD4_Ldlrad4
2805	MYO9B	Myo9b	MYO9B_Myo9b
2806	CD163	Cd163	CD163_Cd163
2807	SLC16A10	Slc16a10	SLC16A10_Slc16a10
2808	GZMM	Gzmm	GZMM_Gzmm
2809	BHLHE40	Bhlhe40	BHLHE40_Bhlhe40
2810	ZNF18	Zkscan6	ZNF18_Zkscan6
2811	TBCK	Tbck	TBCK_Tbck
2812	CROT	Crot	CROT_Crot
2813	CCDC121	Ccdc121	CCDC121_Ccdc121
2814	SLCO4C1	Slco4c1	SLCO4C1_Slco4c1
2815	GPR45	Gpr45	GPR45_Gpr45
2816	KLF3	Klf3	KLF3_Klf3
2817	FAM131C	Fam131c	FAM131C_Fam131c
2818	QRFPR	Qrfpr	QRFPR_Qrfpr
2819	COX15	Cox15	COX15_Cox15
2820	ZNF800	Zfp800	ZNF800_Zfp800
2821	COMMD2	Commd2	COMMD2_Commd2
2822	DSG2	Dsg2	DSG2_Dsg2
2823	ICE1	Ice1	ICE1_Ice1
2824	TRABD	Trabd	TRABD_Trabd
2825	FUT7	Fut7	FUT7_Fut7
2826	HOXC13	Hoxc13	HOXC13_Hoxc13
2827	OR10Z1	Olfr419	OR10Z1_Olfr419
2828	GASK1A	Gask1a	GASK1A_Gask1a
2829	CBWD1	Cbwd1	CBWD1_Cbwd1
2830	FAM83A	Fam83a	FAM83A_Fam83a
2831	ZNF784	Zfp784	ZNF784_Zfp784
2832	HILPDA	Hilpda	HILPDA_Hilpda
2833	RGS12	Rgs12	RGS12_Rgs12
2834	YPEL5	Ypel5	YPEL5_Ypel5
2835	TSPAN10	Tspan10	TSPAN10_Tspan10
2836	TP53INP2	Trp53inp2	TP53INP2_Trp53inp2
2837	ATPAF1	Atpaf1	ATPAF1_Atpaf1
2838	CDSN	Cdsn	CDSN_Cdsn
2839	PRKAR1B	Prkar1b	PRKAR1B_Prkar1b
2840	SLC25A38	Slc25a38	SLC25A38_Slc25a38
2841	SNRPE	Snrpe	SNRPE_Snrpe
2842	IQCM	Iqcm	IQCM_Iqcm
2843	PLD3	Pld3	PLD3_Pld3
2844	KRT13	Krt13	KRT13_Krt13
2845	ACSL3	Acsl3	ACSL3_Acsl3
2846	XPO1	Xpo1	XPO1_Xpo1
2847	PHKG1	Phkg1	PHKG1_Phkg1
2848	TRIM13	Trim13	TRIM13_Trim13
2849	EFNA1	Efna1	EFNA1_Efna1
2850	CLEC11A	Clec11a	CLEC11A_Clec11a
2851	ZBTB42	Zbtb42	ZBTB42_Zbtb42
2852	GABBR2	Gabbr2	GABBR2_Gabbr2
2853	ACOT1	Acot3	ACOT1_Acot3
2854	SGPP1	Sgpp1	SGPP1_Sgpp1
2855	HBP1	Hbp1	HBP1_Hbp1
2856	PTPN3	Ptpn3	PTPN3_Ptpn3
2857	ZDHHC23	Zdhhc23	ZDHHC23_Zdhhc23
2858	TEAD2	Tead2	TEAD2_Tead2
2859	ZFAND5	Zfand5	ZFAND5_Zfand5
2860	GCGR	Gcgr	GCGR_Gcgr
2861	CCDC174	Ccdc174	CCDC174_Ccdc174
2862	DLG1	Dlg1	DLG1_Dlg1
2863	TFAP2A	Tfap2a	TFAP2A_Tfap2a
2864	ATP23	Atp23	ATP23_Atp23
2865	JMJD4	Jmjd4	JMJD4_Jmjd4
2866	CFAP53	Cfap53	CFAP53_Cfap53
2867	MIER1	Mier1	MIER1_Mier1
2868	KRTAP9-1	Krtap9-5	KRTAP9-1_Krtap9-5
2869	MXRA8	Mxra8	MXRA8_Mxra8
2870	AADACL4	Aadacl4	AADACL4_Aadacl4
2871	ABI1	Abi1	ABI1_Abi1
2872	GMEB2	Gmeb2	GMEB2_Gmeb2
2873	PDPK1	Pdpk1	PDPK1_Pdpk1
2874	THOC3	Thoc3	THOC3_Thoc3
2875	PRPS2	Prps2	PRPS2_Prps2
2876	SH2D6	Sh2d6	SH2D6_Sh2d6
2877	TUBB3	Tubb3	TUBB3_Tubb3
2878	MYOZ1	Myoz1	MYOZ1_Myoz1
2879	MANF	Manf	MANF_Manf
2880	ARPC3	Arpc3	ARPC3_Arpc3
2881	KIF17	Kif17	KIF17_Kif17
2882	OR13G1	Olfr309	OR13G1_Olfr309
2883	OR8G5	Olfr935	OR8G5_Olfr935
2884	TSLP	Tslp	TSLP_Tslp
2885	DTWD1	Dtwd1	DTWD1_Dtwd1
2886	SEPTIN10	Septin10	SEPTIN10_Septin10
2887	SFMBT1	Sfmbt1	SFMBT1_Sfmbt1
2888	IL5	Il5	IL5_Il5
2889	TENM1	Tenm1	TENM1_Tenm1
2890	EGFL6	Egfl6	EGFL6_Egfl6
2891	SLC16A13	Slc16a13	SLC16A13_Slc16a13
2892	CABP1	Cabp1	CABP1_Cabp1
2893	BAIAP2L1	Baiap2l1	BAIAP2L1_Baiap2l1
2894	CRTC2	Crtc2	CRTC2_Crtc2
2895	CSNK1D	Csnk1d	CSNK1D_Csnk1d
2896	CCDC181	Ccdc181	CCDC181_Ccdc181
2897	DPYSL5	Dpysl5	DPYSL5_Dpysl5
2898	SLC51A	Slc51a	SLC51A_Slc51a
2899	SH3PXD2A	Sh3pxd2a	SH3PXD2A_Sh3pxd2a
2900	GUCA2A	Guca2a	GUCA2A_Guca2a
2901	KIF1C	Kif1c	KIF1C_Kif1c
2902	RORA	Rora	RORA_Rora
2903	PMS2	Pms2	PMS2_Pms2
2904	MBNL2	Mbnl2	MBNL2_Mbnl2
2905	NDUFA2	Ndufa2	NDUFA2_Ndufa2
2906	RBBP8NL	Rbbp8nl	RBBP8NL_Rbbp8nl
2907	VIT	Vit	VIT_Vit
2908	DEFB128	Defb20	DEFB128_Defb20
2909	LGI4	Lgi4	LGI4_Lgi4
2910	FBXO6	Fbxo6	FBXO6_Fbxo6
2911	EPAS1	Epas1	EPAS1_Epas1
2912	ASB15	Asb15	ASB15_Asb15
2913	UNC5D	Unc5d	UNC5D_Unc5d
2914	GPR152	Gpr152	GPR152_Gpr152
2915	TXNRD1	Txnrd1	TXNRD1_Txnrd1
2916	DDIT3	Ddit3	DDIT3_Ddit3
2917	ROR2	Ror2	ROR2_Ror2
2918	BTBD18	Btbd18	BTBD18_Btbd18
2919	RPP25L	Rpp25l	RPP25L_Rpp25l
2920	PAX6	Pax6	PAX6_Pax6
2921	AAK1	Aak1	AAK1_Aak1
2922	TOP2B	Top2b	TOP2B_Top2b
2923	LRIT2	Lrit2	LRIT2_Lrit2
2924	C1orf74	A130010J15Rik	C1orf74_A130010J15Rik
2925	FBXO2	Fbxo2	FBXO2_Fbxo2
2926	DHX35	Dhx35	DHX35_Dhx35
2927	MTFMT	Mtfmt	MTFMT_Mtfmt
2928	DMWD	Dmwd	DMWD_Dmwd
2929	CELF2	Celf2	CELF2_Celf2
2930	DDAH1	Ddah1	DDAH1_Ddah1
2931	SH3GL1	Sh3gl1	SH3GL1_Sh3gl1
2932	PMFBP1	Pmfbp1	PMFBP1_Pmfbp1
2933	SMC3	Smc3	SMC3_Smc3
2934	AHI1	Ahi1	AHI1_Ahi1
2935	CLK4	Clk4	CLK4_Clk4
2936	AIF1L	Aif1l	AIF1L_Aif1l
2937	MORN2	Morn2	MORN2_Morn2
2938	HMOX1	Hmox1	HMOX1_Hmox1
2939	CYP4V2	Cyp4v3	CYP4V2_Cyp4v3
2940	CERKL	Cerkl	CERKL_Cerkl
2941	ZNRF2	Znrf2	ZNRF2_Znrf2
2942	SPDYA	Spdya	SPDYA_Spdya
2943	ABCC2	Abcc2	ABCC2_Abcc2
2944	TMED10	Tmed10	TMED10_Tmed10
2945	LYPLA1	Lypla1	LYPLA1_Lypla1
2946	KCTD17	Kctd17	KCTD17_Kctd17
2947	CLEC5A	Clec5a	CLEC5A_Clec5a
2948	HHLA1	Hhla1	HHLA1_Hhla1
2949	CYSLTR1	Cysltr1	CYSLTR1_Cysltr1
2950	SDR42E1	Sdr42e1	SDR42E1_Sdr42e1
2951	FGF14	Fgf14	FGF14_Fgf14
2952	RRP36	Rrp36	RRP36_Rrp36
2953	RNF180	Rnf180	RNF180_Rnf180
2954	PHOSPHO1	Phospho1	PHOSPHO1_Phospho1
2955	COL18A1	Col18a1	COL18A1_Col18a1
2956	LRFN3	Lrfn3	LRFN3_Lrfn3
2957	NASP	Nasp	NASP_Nasp
2958	RNFT1	Rnft1	RNFT1_Rnft1
2959	ANKRD22	Ankrd22	ANKRD22_Ankrd22
2960	SRSF10	Srsf10	SRSF10_Srsf10
2961	SLC44A5	Slc44a5	SLC44A5_Slc44a5
2962	FGFBP1	Fgfbp1	FGFBP1_Fgfbp1
2963	CAPN1	Capn1	CAPN1_Capn1
2964	LHFPL1	Lhfpl1	LHFPL1_Lhfpl1
2965	TMEM74	Tmem74	TMEM74_Tmem74
2966	GRIA1	Gria1	GRIA1_Gria1
2967	TAB1	Tab1	TAB1_Tab1
2968	LIPT1	Lipt1	LIPT1_Lipt1
2969	SLC16A8	Slc16a8	SLC16A8_Slc16a8
2970	PPP2R2D	Ppp2r2d	PPP2R2D_Ppp2r2d
2971	CST11	Cst11	CST11_Cst11
2972	STK10	Stk10	STK10_Stk10
2973	SMAD2	Smad2	SMAD2_Smad2
2974	ABHD12B	Abhd12b	ABHD12B_Abhd12b
2975	FABP2	Fabp2	FABP2_Fabp2
2976	SLC38A1	Slc38a1	SLC38A1_Slc38a1
2977	RTN4RL2	Rtn4rl2	RTN4RL2_Rtn4rl2
2978	DCLK2	Dclk2	DCLK2_Dclk2
2979	DEFB1	Defb1	DEFB1_Defb1
2980	ULK3	Ulk3	ULK3_Ulk3
2981	ASAP1	Asap1	ASAP1_Asap1
2982	LRRC4B	Lrrc4b	LRRC4B_Lrrc4b
2983	POFUT2	Pofut2	POFUT2_Pofut2
2984	AGPAT5	Agpat5	AGPAT5_Agpat5
2985	GAPDH	Gapdh	GAPDH_Gapdh
2986	AASDH	Aasdh	AASDH_Aasdh
2987	BHLHB9	Bhlhb9	BHLHB9_Bhlhb9
2988	CISH	Cish	CISH_Cish
2989	REEP6	Reep6	REEP6_Reep6
2990	SASH1	Sash1	SASH1_Sash1
2991	C16orf91	BC003965	C16orf91_BC003965
2992	FANCG	Fancg	FANCG_Fancg
2993	MED21	Med21	MED21_Med21
2994	S100A4	S100a4	S100A4_S100a4
2995	PLPP2	Plpp2	PLPP2_Plpp2
2996	ALDH1A2	Aldh1a2	ALDH1A2_Aldh1a2
2997	MLC1	Mlc1	MLC1_Mlc1
2998	SLC39A9	Slc39a9	SLC39A9_Slc39a9
2999	BCL11A	Bcl11a	BCL11A_Bcl11a
3000	EBP	Ebp	EBP_Ebp
3001	ZNF281	Zfp281	ZNF281_Zfp281
3002	INTS3	Ints3	INTS3_Ints3
3003	SGMS2	Sgms2	SGMS2_Sgms2
3004	HAND2	Hand2	HAND2_Hand2
3005	MSRB2	Msrb2	MSRB2_Msrb2
3006	RUFY4	Rufy4	RUFY4_Rufy4
3007	MED29	Med29	MED29_Med29
3008	NOX3	Nox3	NOX3_Nox3
3009	B4GALT4	B4galt4	B4GALT4_B4galt4
3010	FZD2	Fzd2	FZD2_Fzd2
3011	CR1L	Cr1l	CR1L_Cr1l
3012	HDGFL1	Hdgfl1	HDGFL1_Hdgfl1
3013	TMEM100	Tmem100	TMEM100_Tmem100
3014	HSF1	Hsf1	HSF1_Hsf1
3015	ERH	Erh	ERH_Erh
3016	ZNF318	Zfp318	ZNF318_Zfp318
3017	SHKBP1	Shkbp1	SHKBP1_Shkbp1
3018	CYP8B1	Cyp8b1	CYP8B1_Cyp8b1
3019	TMED5	Tmed5	TMED5_Tmed5
3020	SRP72	Srp72	SRP72_Srp72
3021	ARID3B	Arid3b	ARID3B_Arid3b
3022	TRIML1	Triml1	TRIML1_Triml1
3023	RPS6KA6	Rps6ka6	RPS6KA6_Rps6ka6
3024	C8orf89	4930444P10Rik	C8orf89_4930444P10Rik
3025	OR2AK2	Olfr318	OR2AK2_Olfr318
3026	ABCD1	Abcd1	ABCD1_Abcd1
3027	GPR137B	Gpr137b	GPR137B_Gpr137b
3028	GSKIP	Gskip	GSKIP_Gskip
3029	PRAF2	Praf2	PRAF2_Praf2
3030	DNAJB14	Dnajb14	DNAJB14_Dnajb14
3031	EMC7	Emc7	EMC7_Emc7
3032	STARD7	Stard7	STARD7_Stard7
3033	BMPER	Bmper	BMPER_Bmper
3034	CLDN14	Cldn14	CLDN14_Cldn14
3035	PALM2AKAP2	Pakap	PALM2AKAP2_Pakap
3036	C7orf57	Gm11992	C7orf57_Gm11992
3037	DPF1	Dpf1	DPF1_Dpf1
3038	TXNDC9	Txndc9	TXNDC9_Txndc9
3039	DRAP1	Drap1	DRAP1_Drap1
3040	KDM3B	Kdm3b	KDM3B_Kdm3b
3041	ANKK1	Ankk1	ANKK1_Ankk1
3042	CXCR5	Cxcr5	CXCR5_Cxcr5
3043	SGF29	Sgf29	SGF29_Sgf29
3044	YPEL3	Ypel3	YPEL3_Ypel3
3045	RPN2	Rpn2	RPN2_Rpn2
3046	SMC2	Smc2	SMC2_Smc2
3047	SLC6A3	Slc6a3	SLC6A3_Slc6a3
3048	IFITM2	Ifitm2	IFITM2_Ifitm2
3049	GALNT9	Galnt9	GALNT9_Galnt9
3050	AHCYL1	Ahcyl1	AHCYL1_Ahcyl1
3051	CAPRIN2	Caprin2	CAPRIN2_Caprin2
3052	SDK2	Sdk2	SDK2_Sdk2
3053	UMAD1	Umad1	UMAD1_Umad1
3054	MTCH1	Mtch1	MTCH1_Mtch1
3055	COLCA2	Colca2	COLCA2_Colca2
3056	INVS	Invs	INVS_Invs
3057	MRPL13	Mrpl13	MRPL13_Mrpl13
3058	HNRNPM	Hnrnpm	HNRNPM_Hnrnpm
3059	STXBP6	Stxbp6	STXBP6_Stxbp6
3060	KXD1	Kxd1	KXD1_Kxd1
3061	NEB	Neb	NEB_Neb
3062	LAMP5	Lamp5	LAMP5_Lamp5
3063	COL5A1	Col5a1	COL5A1_Col5a1
3064	RPGR	Rpgr	RPGR_Rpgr
3065	CDC42SE1	Cdc42se1	CDC42SE1_Cdc42se1
3066	FBLN1	Fbln1	FBLN1_Fbln1
3067	COLEC11	Colec11	COLEC11_Colec11
3068	OGA	Oga	OGA_Oga
3069	PTCD2	Ptcd2	PTCD2_Ptcd2
3070	NXN	Nxn	NXN_Nxn
3071	AKR1A1	Akr1a1	AKR1A1_Akr1a1
3072	RPL3L	Rpl3l	RPL3L_Rpl3l
3073	DDX23	Ddx23	DDX23_Ddx23
3074	RNF187	Rnf187	RNF187_Rnf187
3075	ZBTB24	Zbtb24	ZBTB24_Zbtb24
3076	THTPA	Thtpa	THTPA_Thtpa
3077	ACSS1	Acss1	ACSS1_Acss1
3078	ASPHD2	Asphd2	ASPHD2_Asphd2
3079	TNPO2	Tnpo2	TNPO2_Tnpo2
3080	C1S	C1s1	C1S_C1s1
3081	CCDC85C	Ccdc85c	CCDC85C_Ccdc85c
3082	PRPF4B	Prpf4b	PRPF4B_Prpf4b
3083	DUSP21	Dusp21	DUSP21_Dusp21
3084	MEPE	Mepe	MEPE_Mepe
3085	LCOR	Lcor	LCOR_Lcor
3086	C6orf163	Gm136	C6orf163_Gm136
3087	FSTL5	Fstl5	FSTL5_Fstl5
3088	LAT	Lat	LAT_Lat
3089	ETFA	Etfa	ETFA_Etfa
3090	ADAM21	Adam21	ADAM21_Adam21
3091	SOX8	Sox8	SOX8_Sox8
3092	HRNR	Hrnr	HRNR_Hrnr
3093	PKLR	Pklr	PKLR_Pklr
3094	BCR	Bcr	BCR_Bcr
3095	EHBP1	Ehbp1	EHBP1_Ehbp1
3096	PIGN	Pign	PIGN_Pign
3097	CPXM2	Cpxm2	CPXM2_Cpxm2
3098	RNF145	Rnf145	RNF145_Rnf145
3099	MYCN	Mycn	MYCN_Mycn
3100	CLK3	Clk3	CLK3_Clk3
3101	GGA3	Gga3	GGA3_Gga3
3102	SLC9B2	Slc9b2	SLC9B2_Slc9b2
3103	LAMB2	Lamb2	LAMB2_Lamb2
3104	MIDN	Midn	MIDN_Midn
3105	NEURL3	Neurl3	NEURL3_Neurl3
3106	RLN1	Rln1	RLN1_Rln1
3107	CINP	Cinp	CINP_Cinp
3108	PPIF	Ppif	PPIF_Ppif
3109	HNRNPA0	Hnrnpa0	HNRNPA0_Hnrnpa0
3110	ZNF827	Zfp827	ZNF827_Zfp827
3111	TRMT1L	Trmt1l	TRMT1L_Trmt1l
3112	SLC9A2	Slc9a2	SLC9A2_Slc9a2
3113	CDK8	Cdk8	CDK8_Cdk8
3114	SCYL3	Scyl3	SCYL3_Scyl3
3115	RASGEF1A	Rasgef1a	RASGEF1A_Rasgef1a
3116	SNX13	Snx13	SNX13_Snx13
3117	SMAD9	Smad9	SMAD9_Smad9
3118	GAS2L1	Gas2l1	GAS2L1_Gas2l1
3119	NPAT	Npat	NPAT_Npat
3120	OR4Q3	Olfr735	OR4Q3_Olfr735
3121	CYP2D6	Cyp2d22	CYP2D6_Cyp2d22
3122	PCDHB14	Pcdhb20	PCDHB14_Pcdhb20
3123	TMEM150A	Tmem150a	TMEM150A_Tmem150a
3124	ZFHX3	Zfhx3	ZFHX3_Zfhx3
3125	ZNF142	Zfp142	ZNF142_Zfp142
3126	PTH	Pth	PTH_Pth
3127	RAP1GAP2	Rap1gap2	RAP1GAP2_Rap1gap2
3128	YWHAB	Ywhab	YWHAB_Ywhab
3129	ZNF641	Zfp641	ZNF641_Zfp641
3130	EHHADH	Ehhadh	EHHADH_Ehhadh
3131	RNF25	Rnf25	RNF25_Rnf25
3132	SPTBN4	Sptbn4	SPTBN4_Sptbn4
3133	PGAM1	Pgam1	PGAM1_Pgam1
3134	KLF5	Klf5	KLF5_Klf5
3135	EBF4	Ebf4	EBF4_Ebf4
3136	PPT1	Ppt1	PPT1_Ppt1
3137	NODAL	Nodal	NODAL_Nodal
3138	ARFGAP1	Arfgap1	ARFGAP1_Arfgap1
3139	CMTM5	Cmtm5	CMTM5_Cmtm5
3140	CCPG1	Ccpg1	CCPG1_Ccpg1
3141	ABO	Abo	ABO_Abo
3142	BRK1	Brk1	BRK1_Brk1
3143	UGT2A1	Ugt2a1	UGT2A1_Ugt2a1
3144	SLC25A1	Slc25a1	SLC25A1_Slc25a1
3145	TMEM245	Tmem245	TMEM245_Tmem245
3146	HSPA1L	Hspa1l	HSPA1L_Hspa1l
3147	TMPRSS15	Tmprss15	TMPRSS15_Tmprss15
3148	TRIM26	Trim26	TRIM26_Trim26
3149	OCM2	Ocm	OCM2_Ocm
3150	HELT	Helt	HELT_Helt
3151	CMTR2	Cmtr2	CMTR2_Cmtr2
3152	LMO2	Lmo2	LMO2_Lmo2
3153	RNASE9	Rnase9	RNASE9_Rnase9
3154	REL	Rel	REL_Rel
3155	FSCN3	Fscn3	FSCN3_Fscn3
3156	NSUN3	Nsun3	NSUN3_Nsun3
3157	TUT1	Tut1	TUT1_Tut1
3158	SEC22B	Sec22b	SEC22B_Sec22b
3159	COMMD6	Commd6	COMMD6_Commd6
3160	UQCRFS1	Uqcrfs1	UQCRFS1_Uqcrfs1
3161	KIF12	Kif12	KIF12_Kif12
3162	INKA2	Inka2	INKA2_Inka2
3163	AUTS2	Auts2	AUTS2_Auts2
3164	GNL3	Gnl3	GNL3_Gnl3
3165	TMEM17	Tmem17	TMEM17_Tmem17
3166	TDP1	Tdp1	TDP1_Tdp1
3167	OR8A1	Olfr160	OR8A1_Olfr160
3168	FMR1NB	Fmr1nb	FMR1NB_Fmr1nb
3169	SPTBN1	Sptbn1	SPTBN1_Sptbn1
3170	SLC35F6	Slc35f6	SLC35F6_Slc35f6
3171	DNAJA3	Dnaja3	DNAJA3_Dnaja3
3172	ASB14	Asb14	ASB14_Asb14
3173	TIFA	Tifa	TIFA_Tifa
3174	ADAM2	Adam2	ADAM2_Adam2
3175	SLC4A3	Slc4a3	SLC4A3_Slc4a3
3176	TMEM158	Tmem158	TMEM158_Tmem158
